0,1,2,3,4,5,6,7,8,9,10,11,12,13
Gygis alba ,Animalia,Chordata,Aves,Charadriiformes,Laridae ,Gygis,alba,Charrán Blanco ,White Tern,"Gygis alba , White Tern, Charrán Blanco ",,Palomita del Espíritu Santo,368
Gymnopithys bicolor,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae ,Gymnopithys,bicolor,Hormiguero Bicolor,Bicolored Antbird,"Gymnopithys bicolor, Bicolored Antbird, Hormiguero Bicolor",,,216
Heliodoxa jacula,Animalia,Chordata,Aves,Apodiformes,Trochilidae ,Heliodoxa,jacula,Colibrí Brillante Frentiverde,Green-crowned Brilliant,"Heliodoxa jacula, Green-crowned Brilliant, Colibrí Brillante Frentiverde",,,142
Heliomaster longirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae ,Heliomaster,longirostris,Colibrí Piquilargo ,Long-billed Starthroat,"Heliomaster longirostris, Long-billed Starthroat, Colibrí Piquilargo ",,Pochotero del Sur,154
Himantopus mexicanus,Animalia,Chordata,Aves,Charadriiformes,Recurvirostridae ,Himantopus,mexicanus,Cigüeñuela Cuellinegro ,Black-necked Stilt,"Himantopus mexicanus, Black-necked Stilt, Cigüeñuela Cuellinegro ",,Soldadito,72
Hirundo rustica,Animalia,Chordata,Aves,Passeriformes,Hirundinidae ,Hirundo,rustica,Golondrina Tijereta,Barn Swallow,"Hirundo rustica, Barn Swallow, Golondrina Tijereta",,,138
Hydropsalis cayennensis,Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae ,Hydropsalis,cayennensis,Chotacabras Coliblanco,White-tailed Nightjar,"Hydropsalis cayennensis, White-tailed Nightjar, Chotacabras Coliblanco",,,128
Hylopezus dives,Animalia,Chordata,Aves,Passeriformes,Grallariidae ,Hylopezus,dives,Tororoi Pechicanelo ,Thicket Antpitta,"Hylopezus dives, Thicket Antpitta, Tororoi Pechicanelo ",,Hormiguero,222
Ictinia plumbea,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Ictinia,plumbea,Elanio Plomizo,Plumbeous Kite,"Ictinia plumbea, Plumbeous Kite, Elanio Plomizo",,,98
Laniocera rufescens,Animalia,Chordata,Aves,Passeriformes,Tityridae ,Laniocera,rufescens,Plañidera Moteada,Speckled Mourner,"Laniocera rufescens, Speckled Mourner, Plañidera Moteada",,,254
Larus occidentalis,Animalia,Chordata,Aves,Charadriiformes,Laridae ,Larus,occidentalis,Gaviota Occidental,Western Gull,"Larus occidentalis, Western Gull, Gaviota Occidental",,,
Laterallus albigularis ,Animalia,Chordata,Aves,Gruiformes,Rallidae ,Laterallus,albigularis,Polluela Gargantiblanca ,White-throated Crake,"Laterallus albigularis , White-throated Crake, Polluela Gargantiblanca ",,"Freidora, Huevo frito",88
Laterallus exilis,Animalia,Chordata,Aves,Gruiformes,Rallidae ,Laterallus,exilis,Polluela Pechigrís,Gray-breasted Crake,"Laterallus exilis, Gray-breasted Crake, Polluela Pechigrís",,,88
Laterallus jamaicensis,Animalia,Chordata,Aves,Gruiformes,Rallidae ,Laterallus,jamaicensis,Polluela Negra,Black Rail,"Laterallus jamaicensis, Black Rail, Polluela Negra",,,88
Lepidocolaptes affinis,Animalia,Chordata,Aves,Passeriformes,Furnariidae ,Lepidocolaptes,affinis,Trepador Cabecipunteado,Spot-crowned Woodcreeper,"Lepidocolaptes affinis, Spot-crowned Woodcreeper, Trepador Cabecipunteado",,,204
Lepidothrix coronata,Animalia,Chordata,Aves,Passeriformes,Pipridae ,Lepidothrix,coronata,Saltarín Coroniceleste,Blue-crowned Manakin,"Lepidothrix coronata, Blue-crowned Manakin, Saltarín Coroniceleste",,,258
Leptodon cayanensis,Animalia,Chordata,Aves,Accipitriformes,Accipitridae ,Leptodon,cayanensis,Gavilán Cabecigrís,Gray-headed Kite,"Leptodon cayanensis, Gray-headed Kite, Gavilán Cabecigrís",,,92
